CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;43;151;158;284
01:00;42;218;167;298
02:00;34;210;133;238
03:00;31;206;108;196
04:00;32;207;68;136
05:00;30;177;83;157
06:00;39;170;119;221
07:00;55;156;267;464
08:00;71;160;318;558
09:00;66;206;297;520
10:00;68;216;276;490
11:00;72;203;289;514
12:00;69;211;252;455
13:00;71;216;216;401
14:00;73;193;250;455
15:00;68;184;252;453
16:00;63;174;212;386
17:00;62;168;220;398
18:00;81;179;313;559
19:00;74;191;316;558
20:00;63;158;272;478
21:00;49;233;188;337
22:00;44;180;154;280
23:00;44;147;143;262
