CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;65;91;51;95;1080;209
01:00;55;93;53;96;1190;201
02:00;41;79;45;76;740;155
03:00;38;62;33;47;550;108
04:00;47;59;32;70;540;153
05:00;42;69;37;44;440;108
06:00;50;72;38;111;740;219
07:00;59;69;36;198;1300;360
08:00;70;76;40;203;1250;380
09:00;68;85;45;184;1150;349
10:00;69;81;42;152;1040;300
11:00;59;49;26;89;620;194
12:00;66;46;25;91;670;204
13:00;63;43;24;77;580;180
14:00;82;32;17;98;680;231
15:00;83;20;11;62;610;177
16:00;96;23;12;65;660;194
17:00;106;30;15;87;620;238
18:00;119;28;16;114;820;292
19:00;123;40;21;160;1060;367
20:00;138;46;25;226;1460;483
21:00;130;67;36;282;1750;561
22:00;97;87;48;165;1380;350
23:00;87;87;49;172;1370;349
