CZAS;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;26;21;550
01:00;22;17;440
02:00;20;14;400
03:00;20;14;330
04:00;21;14;370
05:00;25;16;440
06:00;27;18;600
07:00;24;17;880
08:00;24;16;1020
09:00;25;16;900
10:00;24;14;690
11:00;23;14;590
12:00;22;14;540
13:00;22;14;590
14:00;24;14;630
15:00;25;16;620
16:00;27;18;750
17:00;27;18;840
18:00;26;18;1020
19:00;27;19;850
20:00;26;20;900
21:00;26;20;820
22:00;27;21;800
23:00;27;21;670
