CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;62;62;43;31;750;108
01:00;70;65;44;39;1030;128
02:00;26;47;39;10;520;40
03:00;26;48;41;10;560;39
04:00;20;42;36;7;530;29
05:00;23;45;37;9;490;36
06:00;33;46;37;17;490;57
07:00;38;48;36;27;560;78
08:00;38;46;35;28;510;80
09:00;43;53;32;33;500;92
10:00;31;32;10;21;310;62
11:00;38;14;6;33;400;87
12:00;34;13;6;28;370;76
13:00;43;15;6;42;440;106
14:00;52;15;7;50;510;127
15:00;55;22;8;51;480;131
16:00;61;24;8;50;530;136
17:00;62;23;8;45;570;130
18:00;65;19;9;51;540;142
19:00;70;26;12;55;610;154
20:00;70;36;18;50;620;146
21:00;70;44;29;41;620;131
22:00;65;62;45;34;680;116
23:00;54;52;38;22;680;86
