CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;65;61;47;75;1280;179
01:00;53;59;46;47;1110;125
02:00;21;40;29;9;510;34
03:00;17;35;28;9;430;30
04:00;23;44;34;11;450;40
05:00;36;48;39;21;640;67
06:00;59;59;46;72;980;168
07:00;64;51;35;108;1000;229
08:00;75;58;38;149;1520;302
09:00;75;59;37;120;1140;257
10:00;89;60;36;162;1520;336
11:00;76;47;28;77;940;192
12:00;101;48;29;96;1060;247
13:00;95;42;24;74;820;209
14:00;101;39;25;78;850;221
15:00;111;40;25;80;900;232
16:00;114;41;24;89;990;249
17:00;132;39;23;115;1210;308
18:00;140;47;28;168;1560;397
19:00;120;48;28;123;1360;308
20:00;92;45;31;79;1000;213
21:00;81;48;34;72;950;191
22:00;73;46;33;67;1010;174
23:00;80;51;38;133;1540;283
