CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;68;114;71;175
01:00;53;75;41;115
02:00;38;43;17;64
03:00;36;30;17;62
04:00;34;65;14;55
05:00;40;57;29;84
06:00;61;50;92;202
07:00;66;53;184;346
08:00;73;79;218;406
09:00;73;63;195;370
10:00;77;80;181;353
11:00;71;71;150;300
12:00;70;113;116;246
13:00;75;133;119;257
14:00;67;132;95;212
15:00;;109;;
16:00;124;63;196;424
17:00;109;58;137;319
18:00;81;43;74;194
19:00;74;52;62;169
20:00;88;41;102;244
21:00;73;81;59;162
22:00;84;70;122;271
23:00;72;93;80;193
