CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;69;31;540;117
01:00;33;13;440;53
02:00;27;10;390;42
03:00;44;23;440;79
04:00;48;35;470;101
05:00;46;41;490;108
06:00;58;106;780;219
07:00;73;168;1350;330
08:00;88;184;1570;369
09:00;86;97;1070;235
10:00;108;103;1140;265
11:00;119;83;1140;246
12:00;109;61;1020;202
13:00;79;35;640;133
14:00;102;49;770;176
15:00;103;49;860;177
16:00;111;49;930;185
17:00;158;70;1190;264
18:00;157;74;1290;269
19:00;118;44;840;184
20:00;94;29;740;138
21:00;109;52;890;189
22:00;96;56;990;182
23:00;76;40;840;138
