CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;74;332;4260;581
01:00;38;22;550;70
02:00;34;15;520;56
03:00;;;570;
04:00;33;20;560;62
05:00;40;37;610;95
06:00;54;79;800;173
07:00;64;146;1190;285
08:00;71;212;1670;395
09:00;78;248;1870;457
10:00;79;199;1650;382
11:00;75;184;1690;355
12:00;83;172;1630;346
13:00;104;168;1650;360
14:00;102;201;1880;410
15:00;108;211;1920;430
16:00;109;208;2150;426
17:00;117;257;2760;509
18:00;122;318;3380;607
19:00;138;483;4050;875
20:00;124;406;3960;743
21:00;109;352;3950;647
22:00;110;443;4710;787
23:00;89;361;4410;641
