CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;72;46;37;78;710;191
01:00;61;41;32;45;610;129
02:00;41;43;37;40;540;102
03:00;38;48;39;32;520;87
04:00;39;46;40;26;510;79
05:00;35;45;41;24;450;72
06:00;37;48;41;33;460;87
07:00;42;44;39;64;580;139
08:00;51;45;39;80;700;172
09:00;53;55;44;95;850;199
10:00;58;51;45;132;940;259
11:00;64;52;45;131;920;264
12:00;63;43;36;117;820;241
13:00;69;46;36;108;910;234
14:00;74;39;32;86;750;205
15:00;94;38;29;115;890;270
16:00;122;41;32;145;1110;342
17:00;121;44;32;164;1720;371
18:00;121;33;23;120;1030;304
19:00;128;26;17;167;1310;382
20:00;117;28;20;182;1330;395
21:00;118;33;26;172;1320;381
22:00;79;39;30;77;820;196
23:00;73;38;31;78;660;192
