CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;85;299;142;3110;300
01:00;78;359;86;3060;209
02:00;74;348;74;2650;187
03:00;73;295;89;3020;209
04:00;71;313;73;2710;182
05:00;71;294;89;2760;205
06:00;77;301;154;2790;312
07:00;81;294;199;3270;385
08:00;90;292;274;3690;507
09:00;100;281;288;3450;540
10:00;99;285;227;2920;445
11:00;99;265;165;2110;350
12:00;98;189;146;2030;321
13:00;106;235;165;2210;358
14:00;116;329;163;2220;365
15:00;127;300;192;2210;422
16:00;143;290;235;3080;502
17:00;134;274;219;2650;468
18:00;134;232;260;2990;530
19:00;122;231;242;3250;493
20:00;114;243;225;2960;456
21:00;106;231;212;3650;429
22:00;101;252;176;3250;369
23:00;96;282;207;3640;412
