CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;45;31;37;101
01:00;37;26;29;80
02:00;58;46;40;117
03:00;47;52;36;101
04:00;50;43;40;110
05:00;50;48;46;119
06:00;69;43;166;322
07:00;76;61;259;471
08:00;89;94;249;468
09:00;74;115;153;306
10:00;87;134;154;321
11:00;79;136;106;239
12:00;;120;;
13:00;86;136;75;199
14:00;95;118;77;213
15:00;124;96;133;326
16:00;141;84;155;376
17:00;138;104;174;402
18:00;90;77;96;236
19:00;90;81;109;256
20:00;82;69;81;205
21:00;75;55;80;195
22:00;66;42;65;164
23:00;51;42;51;129
