CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;89;88;88;223
01:00;87;65;140;300
02:00;43;67;38;101
03:00;35;39;22;68
04:00;32;59;22;65
05:00;38;36;73;149
06:00;48;41;148;275
07:00;66;66;286;504
08:00;68;88;224;411
09:00;74;102;210;396
10:00;98;110;177;369
11:00;106;109;133;308
12:00;95;73;69;201
13:00;97;64;77;214
14:00;105;36;84;233
15:00;113;39;85;242
16:00;118;37;113;289
17:00;126;53;141;342
18:00;120;50;123;307
19:00;117;50;118;297
20:00;127;63;139;339
21:00;127;75;163;376
22:00;117;79;161;363
23:00;91;82;93;233
