CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;60;128;1380;255
01:00;46;77;990;164
02:00;38;83;1010;164
03:00;39;85;990;168
04:00;33;64;810;130
05:00;30;72;830;140
06:00;31;91;850;169
07:00;32;111;870;202
08:00;38;137;1000;247
09:00;54;173;1340;318
10:00;54;105;1510;212
11:00;70;103;1230;227
12:00;73;82;800;197
13:00;81;88;860;214
14:00;78;69;820;182
15:00;88;93;1290;230
16:00;100;99;1430;251
17:00;110;134;1490;316
18:00;121;173;1620;385
19:00;128;307;2840;597
20:00;98;186;2110;383
21:00;84;152;1700;317
22:00;72;155;1730;308
23:00;63;107;1250;226
