CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;82;79;86;1240;213
01:00;66;82;49;980;140
02:00;41;38;18;610;68
03:00;35;30;17;630;60
04:00;38;23;22;510;70
05:00;44;29;40;550;104
06:00;60;52;100;830;213
07:00;76;59;151;1570;308
08:00;75;68;137;1570;284
09:00;72;53;118;1340;252
10:00;84;50;128;1480;278
11:00;72;45;76;1090;187
12:00;77;47;82;1030;202
13:00;66;38;63;970;162
14:00;70;42;56;890;155
15:00;75;39;65;1020;174
16:00;84;38;73;1070;195
17:00;81;32;59;910;170
18:00;103;39;80;1070;225
19:00;109;39;91;1420;248
20:00;120;44;118;1530;300
21:00;117;77;139;1720;329
22:00;103;115;101;1600;258
23:00;95;99;110;1570;263
