CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;53;58;720;140
01:00;44;52;760;123
02:00;45;26;430;84
03:00;41;28;430;84
04:00;40;29;450;85
05:00;44;46;500;114
06:00;47;82;660;172
07:00;56;123;840;244
08:00;59;144;1050;278
09:00;66;124;950;254
10:00;76;124;1020;266
11:00;74;105;980;234
12:00;66;75;790;180
13:00;81;110;920;249
14:00;85;108;980;250
15:00;87;125;1040;278
16:00;84;103;870;241
17:00;84;113;910;255
18:00;83;94;920;227
19:00;85;110;1020;253
20:00;82;112;1150;253
21:00;74;120;1330;257
22:00;70;119;1200;251
23:00;57;91;940;195
