CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;85;83;71;77;1200;202
01:00;70;70;60;50;960;146
02:00;57;49;41;87;810;190
03:00;51;51;42;85;790;181
04:00;47;50;42;66;760;148
05:00;46;58;48;69;740;151
06:00;48;48;41;103;780;206
07:00;54;45;38;134;890;259
08:00;60;46;38;169;1010;318
09:00;65;43;34;112;910;235
10:00;73;34;26;105;860;233
11:00;76;35;25;92;890;216
12:00;69;28;21;67;800;171
13:00;80;30;20;64;710;179
14:00;79;28;18;53;720;160
15:00;85;31;20;53;780;166
16:00;110;40;25;75;1020;224
17:00;124;35;25;88;1000;259
18:00;99;38;24;67;810;200
19:00;121;38;30;91;1000;260
20:00;125;44;35;121;1310;310
21:00;125;55;44;121;1350;310
22:00;105;66;53;107;1170;268
23:00;89;72;61;77;1270;206
