CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;35;32;580;84
01:00;49;65;1120;148
02:00;46;41;860;108
03:00;43;35;720;97
04:00;40;31;620;87
05:00;33;28;310;76
06:00;38;38;410;96
07:00;50;67;600;152
08:00;57;92;860;196
09:00;60;118;1010;239
10:00;63;124;1040;253
11:00;69;135;1410;275
12:00;74;122;1540;261
13:00;71;130;1600;270
14:00;76;138;1680;287
15:00;78;146;1600;301
16:00;70;123;1390;258
17:00;79;138;1480;291
18:00;63;103;1300;221
19:00;56;84;1050;185
20:00;41;55;790;126
21:00;35;42;610;98
22:00;33;40;640;95
23:00;35;39;590;94
