CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;64;236;174;331
01:00;50;199;53;131
02:00;38;181;140;253
03:00;35;162;118;215
04:00;29;145;106;191
05:00;34;134;151;266
06:00;41;140;232;396
07:00;42;158;244;415
08:00;58;169;336;573
09:00;85;174;446;766
10:00;99;211;433;762
11:00;135;214;446;817
12:00;128;286;316;611
13:00;116;262;178;387
14:00;105;168;159;348
15:00;122;110;216;451
16:00;116;158;173;380
17:00;123;121;223;464
18:00;137;131;404;755
19:00;157;179;568;1025
20:00;139;241;515;927
21:00;109;287;384;696
22:00;94;290;345;623
23:00;81;242;329;585
