CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;22;29;20;27;1020;63
01:00;15;35;26;17;980;41
02:00;15;37;27;11;940;32
03:00;12;29;20;8;920;24
04:00;12;23;16;11;890;28
05:00;13;21;15;14;890;33
06:00;21;20;13;47;980;92
07:00;30;24;17;88;1240;164
08:00;35;29;21;127;1390;229
09:00;37;29;20;130;1330;236
10:00;35;24;17;112;1200;206
11:00;36;25;17;113;1210;209
12:00;35;30;21;115;1220;211
13:00;38;29;20;131;1370;238
14:00;36;28;20;125;1440;226
15:00;36;26;18;123;1390;224
16:00;38;31;22;135;1600;245
17:00;34;37;28;122;1560;220
18:00;37;30;22;120;1490;220
19:00;36;27;18;114;1480;211
20:00;32;26;18;97;1310;180
21:00;32;29;20;90;1360;170
22:00;30;29;21;82;1320;154
23:00;27;30;22;50;1200;102
