CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;50;115;100;137;260
01:00;37;84;80;68;140
02:00;27;92;87;44;94
03:00;26;90;86;46;96
04:00;26;71;66;44;93
05:00;29;78;71;72;139
06:00;36;86;78;120;219
07:00;48;90;79;197;348
08:00;68;83;75;316;549
09:00;48;83;76;194;343
10:00;44;71;64;107;206
11:00;40;55;34;65;138
12:00;35;43;25;48;107
13:00;33;40;21;37;91
14:00;42;39;21;47;113
15:00;40;30;19;47;111
16:00;38;33;23;46;108
17:00;59;52;37;113;231
18:00;62;59;42;95;207
19:00;72;88;70;150;300
20:00;80;87;70;182;358
21:00;66;87;73;158;307
22:00;59;109;92;157;299
23:00;63;131;112;198;365
