CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;46;32;630;95
01:00;71;43;1430;138
02:00;60;33;1220;110
03:00;50;21;1100;81
04:00;49;20;1120;79
05:00;67;87;1110;200
06:00;68;98;1000;217
07:00;81;163;1180;329
08:00;89;236;1400;449
09:00;105;242;1490;476
10:00;107;216;1430;436
11:00;104;151;1080;335
12:00;108;148;1460;333
13:00;115;181;1410;392
14:00;108;162;1380;356
15:00;78;107;940;242
16:00;89;130;1230;289
17:00;84;130;1110;283
18:00;82;116;1230;258
19:00;81;117;1340;260
20:00;70;96;960;217
21:00;72;82;980;197
22:00;73;70;980;179
23:00;50;43;710;115
