CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;60;32;29;38;117
01:00;54;30;27;28;96
02:00;47;26;16;44;114
03:00;26;9;7;12;44
04:00;26;7;6;13;45
05:00;20;6;6;12;38
06:00;41;8;7;26;79
07:00;29;11;10;18;56
08:00;41;15;14;30;86
09:00;;15;13;;
10:00;43;19;17;37;100
11:00;51;17;15;54;134
12:00;45;20;17;43;109
13:00;48;18;13;40;107
14:00;46;14;11;34;98
15:00;51;14;10;31;97
16:00;47;12;10;27;88
17:00;57;12;9;34;109
18:00;61;12;9;37;116
19:00;91;15;12;53;170
20:00;110;19;15;75;224
21:00;98;21;17;62;193
22:00;77;25;21;45;146
23:00;76;29;26;62;170
