CZAS;Dwutlenek azotu;Tlenek azotu;Tlenki azotu
00:00;58;133;261
01:00;54;121;239
02:00;35;48;109
03:00;34;65;133
04:00;28;42;92
05:00;29;55;113
06:00;39;136;248
07:00;63;257;455
08:00;65;186;350
09:00;85;244;458
10:00;86;194;382
11:00;79;127;274
12:00;73;97;220
13:00;75;84;204
14:00;95;112;266
15:00;102;121;286
16:00;93;99;245
17:00;102;107;266
18:00;129;180;405
19:00;126;191;418
20:00;127;272;543
21:00;104;278;529
22:00;75;198;378
23:00;68;179;342
