CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;29;33;27;70
01:00;20;41;15;43
02:00;24;28;18;52
03:00;19;25;12;37
04:00;19;24;15;41
05:00;25;24;26;65
06:00;29;18;38;87
07:00;43;14;75;159
08:00;55;17;114;229
09:00;54;27;119;235
10:00;56;29;104;215
11:00;56;33;90;192
12:00;48;44;78;168
13:00;53;52;79;172
14:00;50;50;81;173
15:00;52;50;69;157
16:00;58;57;67;160
17:00;62;64;69;167
18:00;55;61;64;152
19:00;56;59;74;168
20:00;54;51;74;166
21:00;49;48;58;138
22:00;44;48;52;124
23:00;33;46;42;97
