CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;43;100;36;98
01:00;49;73;46;119
02:00;45;73;34;97
03:00;41;77;29;86
04:00;40;91;40;102
05:00;42;89;65;140
06:00;51;93;163;301
07:00;;109;;
08:00;68;126;287;507
09:00;77;154;293;526
10:00;74;175;189;362
11:00;77;130;143;294
12:00;76;96;132;277
13:00;70;86;108;235
14:00;81;59;128;276
15:00;88;66;146;312
16:00;97;70;209;417
17:00;139;90;477;869
18:00;146;181;577;1027
19:00;120;248;462;828
20:00;102;250;341;623
21:00;86;202;208;404
22:00;69;165;161;316
23:00;60;153;97;207
