CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;43;20;10;36;350;97
01:00;41;21;10;33;320;90
02:00;23;3;3;23;220;57
03:00;25;3;3;23;230;60
04:00;25;3;3;23;220;58
05:00;30;3;3;28;210;71
06:00;46;4;3;43;320;111
07:00;63;8;4;69;540;166
08:00;64;8;4;79;500;183
09:00;70;10;6;81;650;193
10:00;63;12;6;61;460;156
11:00;63;14;8;66;510;163
12:00;55;12;7;56;400;139
13:00;55;14;7;66;420;156
14:00;59;16;7;61;440;151
15:00;60;17;7;64;440;156
16:00;67;14;6;70;550;173
17:00;72;18;6;75;530;185
18:00;71;19;7;78;640;190
19:00;63;18;7;67;540;165
20:00;65;15;7;64;580;163
21:00;76;21;10;77;650;193
22:00;67;20;10;72;560;176
23:00;47;20;10;43;420;111
