CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;43;150;142;197;2580;343
01:00;43;207;176;223;3010;383
02:00;44;190;164;242;3030;414
03:00;30;170;155;113;2330;203
04:00;26;159;145;100;2110;178
05:00;24;142;132;81;2030;146
06:00;26;116;108;98;1830;174
07:00;35;93;86;113;1550;207
08:00;39;97;87;138;1660;250
09:00;47;101;92;147;1590;272
10:00;47;87;78;118;1610;226
11:00;34;37;33;51;960;111
12:00;30;22;19;38;750;88
13:00;30;21;18;44;760;96
14:00;34;26;23;59;800;124
15:00;28;20;17;41;740;90
16:00;36;20;18;41;750;98
17:00;45;32;28;64;970;142
18:00;64;62;55;130;1430;262
19:00;65;93;86;128;1580;260
20:00;63;103;97;137;1920;273
21:00;55;107;98;137;1800;265
22:00;61;123;111;229;2410;412
23:00;57;120;108;216;2370;389
