CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;64;77;62;28;700;105
01:00;76;111;77;27;980;117
02:00;49;86;76;37;760;104
03:00;53;86;73;41;910;113
04:00;56;88;72;54;920;138
05:00;58;92;74;87;990;190
06:00;50;83;70;83;840;176
07:00;61;92;72;109;960;227
08:00;55;96;78;80;970;176
09:00;52;117;93;73;1130;163
10:00;48;111;94;58;1060;135
11:00;42;92;78;38;850;100
12:00;48;71;58;38;700;104
13:00;61;51;39;44;640;127
14:00;67;41;28;54;670;148
15:00;66;34;23;47;610;136
16:00;80;35;21;70;770;186
17:00;75;35;20;55;690;158
18:00;95;42;22;78;910;213
19:00;84;38;23;63;810;179
20:00;103;51;28;92;1030;243
21:00;81;46;29;61;830;172
22:00;69;53;41;42;680;132
23:00;76;75;59;37;740;131
