CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;49;105;32;1170;97
01:00;30;16;13;710;50
02:00;25;11;8;640;36
03:00;16;7;5;460;23
04:00;12;6;3;400;17
05:00;16;41;7;440;28
06:00;32;18;41;620;95
07:00;54;10;107;1090;217
08:00;74;13;119;1310;257
09:00;76;30;160;1370;321
10:00;82;38;185;1470;365
11:00;72;64;145;1390;294
12:00;74;60;175;1460;342
13:00;72;66;155;1600;307
14:00;64;65;192;1700;358
15:00;64;87;162;1890;312
16:00;62;114;151;1990;292
17:00;71;115;182;2410;350
18:00;66;206;148;2470;291
19:00;54;190;137;1970;265
20:00;55;177;101;1720;209
21:00;61;145;110;1730;229
22:00;59;124;105;1710;218
23:00;56;116;83;1520;183
