CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;50;111;1160;220
01:00;45;79;940;164
02:00;38;33;630;89
03:00;30;22;540;63
04:00;26;28;490;70
05:00;29;35;420;83
06:00;36;69;650;141
07:00;46;139;970;258
08:00;58;219;1490;395
09:00;56;194;1140;353
10:00;54;138;960;265
11:00;52;116;850;229
12:00;56;109;740;222
13:00;38;83;920;164
14:00;66;162;1040;313
15:00;65;184;1170;346
16:00;64;200;1380;369
17:00;72;225;1730;417
18:00;71;195;1700;368
19:00;62;178;1300;332
20:00;63;199;1560;366
21:00;63;193;1620;359
22:00;55;153;1400;289
23:00;54;140;1300;268
