CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;60;38;720;119
01:00;38;13;500;58
02:00;20;6;400;29
03:00;15;6;360;23
04:00;14;7;350;25
05:00;20;12;350;37
06:00;42;33;500;93
07:00;69;74;920;181
08:00;69;82;1160;195
09:00;58;60;1020;149
10:00;60;69;940;165
11:00;55;52;860;134
12:00;54;55;800;138
13:00;52;52;800;132
14:00;53;52;790;132
15:00;61;60;900;152
16:00;76;84;1090;204
17:00;57;52;850;136
18:00;63;49;860;138
19:00;70;65;990;169
20:00;77;78;1120;196
21:00;87;92;1030;227
22:00;89;95;1170;234
23:00;86;113;1190;258
