CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;57.0648;202.063;151.411;165.573;2466.91;1873.96;311.062
01:00;40.7129;55.2166;34.4877;27.8701;547.409;1317.25;83.4557
02:00;37.465;74.8987;56.4871;13.389;696.55;1183.25;57.9942
03:00;41.0174;95.9179;72.4398;20.5409;853.09;1059.59;72.5298
04:00;37.5479;91.637;70.1798;21.6451;827.55;949.325;70.7518
05:00;38.8047;91.6257;68.53;35.5437;815.97;829.752;93.3278
06:00;46.3281;99.6834;69.1342;91.11;959.52;771.119;186.173
07:00;58.508;102.43;69.4553;149.96;1207.89;826.85;288.59
08:00;63.7715;112.048;72.6036;227.436;1432.67;917.581;412.889
09:00;71.8624;123.692;76.1995;259.879;1544.59;1042.23;470.539
10:00;71.0143;108.08;59.7973;161.117;1164.51;1100.72;318.146
11:00;68.7081;85.5922;37.61;116.788;851.57;1100.53;247.898
12:00;64.0913;70.8411;35.7757;85.8802;666.34;1080.38;195.8
13:00;69.5588;69.5544;35.0765;91.7006;720.52;1068.45;210.144
14:00;78.0653;69.703;32.9399;112;714.26;1037.79;249.811
15:00;87.0256;74.8872;37.3059;110.726;787.76;985.277;256.626
16:00;91.7326;99.4758;49.3222;122.538;961.6;926.394;279.66
17:00;106.94;149.102;67.1305;201.311;1391.2;907.22;415.604
18:00;122.358;187.254;85.0234;311.087;2024.66;1014.74;599.676
19:00;107.025;178.196;88.0276;259.73;1769.81;1129.52;505.681
20:00;99.0913;167.647;92.7468;222.527;1659.94;1253.72;440.553
21:00;87.625;171.112;98.1495;166.129;1801.71;1388.87;342.549
22:00;80.9066;165.701;101.094;197.088;1775.34;1521.5;383.305
23:00;70.4112;168.896;117.94;188.802;2102.08;1685.79;359.995
