CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;75;97;90;211
01:00;66;101;84;193
02:00;38;75;47;109
03:00;32;63;42;97
04:00;32;50;59;120
05:00;30;49;64;127
06:00;37;57;152;268
07:00;44;65;215;371
08:00;55;73;243;427
09:00;81;97;314;561
10:00;102;125;241;468
11:00;99;131;158;339
12:00;108;110;145;329
13:00;98;87;81;220
14:00;78;64;62;170
15:00;105;44;84;232
16:00;109;35;98;258
17:00;110;38;84;237
18:00;127;41;104;284
19:00;149;53;135;354
20:00;138;72;150;367
21:00;125;65;175;392
22:00;103;79;144;321
23:00;94;89;133;296
