CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;35;44;40;95
01:00;21;49;22;55
02:00;20;43;19;48
03:00;18;43;17;44
04:00;;40;;
05:00;18;33;20;47
06:00;24;27;50;100
07:00;40;30;143;258
08:00;42;36;145;263
09:00;45;25;161;292
10:00;48;32;151;278
11:00;43;37;119;224
12:00;44;41;115;219
13:00;45;41;119;226
14:00;41;38;102;196
15:00;49;48;171;310
16:00;44;47;147;269
17:00;51;40;140;266
18:00;45;41;109;212
19:00;51;42;136;259
20:00;51;49;145;273
21:00;49;45;99;199
22:00;45;38;65;143
23:00;42;37;58;129
