CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;31;18;16;20;61
01:00;24;12;11;15;46
02:00;22;54;39;10;36
03:00;24;54;39;9;37
04:00;20;46;31;9;33
05:00;25;48;29;13;45
06:00;39;51;30;27;79
07:00;49;59;35;35;102
08:00;56;71;37;45;123
09:00;57;79;28;54;140
10:00;55;70;23;43;120
11:00;48;45;20;43;113
12:00;40;36;14;33;90
13:00;46;39;16;40;106
14:00;55;59;25;45;122
15:00;44;52;20;32;93
16:00;47;55;18;36;103
17:00;46;38;17;38;103
18:00;52;28;17;44;119
19:00;53;23;20;50;129
20:00;52;23;21;45;120
21:00;46;23;20;40;107
22:00;42;24;22;36;96
23:00;35;20;19;28;78
