CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;63;104;138;2530;272
01:00;22;48;8;640;34
02:00;21;43;7;530;31
03:00;23;46;7;670;34
04:00;23;48;9;700;35
05:00;26;41;14;790;47
06:00;40;36;48;870;113
07:00;54;47;81;1040;175
08:00;64;48;121;1260;248
09:00;70;56;133;1160;273
10:00;75;67;145;1260;296
11:00;67;69;167;1390;321
12:00;79;130;169;1470;336
13:00;72;177;140;1360;285
14:00;81;139;159;1690;324
15:00;77;148;138;1700;287
16:00;79;108;140;1830;292
17:00;87;120;185;2150;368
18:00;82;103;180;2170;357
19:00;90;89;220;2480;426
20:00;78;105;193;2260;372
21:00;79;112;214;2940;405
22:00;68;119;176;2480;335
23:00;65;112;191;2790;356
