CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;46;73;68;26;750;87
01:00;38;70;67;15;690;62
02:00;78;144;110;112;1870;250
03:00;73;132;97;98;1470;223
04:00;73;143;104;61;1170;167
05:00;70;132;93;110;1400;238
06:00;78;141;104;157;1290;318
07:00;83;149;101;236;1800;445
08:00;99;165;111;303;2680;563
09:00;93;161;114;186;1750;378
10:00;80;129;92;124;1230;269
11:00;64;74;50;67;800;168
12:00;72;69;50;84;800;200
13:00;64;57;47;79;870;186
14:00;62;51;42;63;750;159
15:00;55;54;47;56;740;141
16:00;57;58;52;60;750;148
17:00;59;61;54;57;770;147
18:00;52;43;38;43;680;118
19:00;57;38;33;39;620;117
20:00;59;38;35;42;720;124
21:00;68;46;41;52;820;148
22:00;66;54;48;53;890;147
23:00;57;67;60;40;1060;119
