CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;69;124;2420;258
01:00;35;20;670;67
02:00;32;16;570;57
03:00;30;14;560;53
04:00;30;14;510;52
05:00;29;14;500;52
06:00;34;21;510;68
07:00;42;34;550;95
08:00;45;43;700;111
09:00;48;56;830;134
10:00;52;57;810;140
11:00;51;56;810;137
12:00;53;46;740;124
13:00;40;35;550;94
14:00;44;41;620;107
15:00;52;49;690;128
16:00;75;80;900;198
17:00;74;78;940;194
18:00;81;106;1290;244
19:00;89;129;1460;288
20:00;94;180;1930;371
21:00;110;289;2900;552
22:00;94;249;2870;475
23:00;78;152;2260;311
