CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;47;70;58;21;1010;78
01:00;64;188;180;28;1450;107
02:00;60;184;174;27;1390;101
03:00;50;165;157;15;1550;72
04:00;46;160;154;15;1210;68
05:00;52;173;165;16;1230;75
06:00;68;171;164;52;1370;146
07:00;90;172;164;138;1730;300
08:00;107;178;168;219;2250;441
09:00;118;194;180;259;2930;513
10:00;112;202;186;187;2270;398
11:00;101;254;199;129;1860;298
12:00;95;223;174;81;1510;217
13:00;107;250;175;112;1690;277
14:00;134;293;173;174;2440;399
15:00;133;231;139;151;2310;364
16:00;123;155;109;134;2440;327
17:00;116;120;100;107;2320;279
18:00;128;169;122;125;1950;318
19:00;116;165;115;97;1700;264
20:00;106;162;114;96;1730;252
21:00;91;132;95;67;1450;193
22:00;81;114;79;59;1190;171
23:00;71;96;73;49;1140;145
