CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;87;93;79;1460
01:00;76;91;79;1220
02:00;69;120;114;1990
03:00;59;118;111;1850
04:00;64;124;116;1840
05:00;62;112;106;1590
06:00;59;117;113;1520
07:00;68;119;110;1650
08:00;71;116;108;1700
09:00;79;141;129;1930
10:00;88;135;115;2040
11:00;97;115;103;1720
12:00;108;83;74;1340
13:00;116;82;70;1180
14:00;122;55;47;1190
15:00;136;53;41;1250
16:00;127;47;40;1050
17:00;128;50;41;1010
18:00;139;51;43;1350
19:00;128;72;53;1240
20:00;131;82;65;1510
21:00;120;83;72;1640
22:00;113;83;74;1660
23:00;102;88;79;1660
