CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;47;50;47;98;197
01:00;43;115;93;85;171
02:00;38;105;85;53;119
03:00;28;68;61;20;59
04:00;31;64;54;31;78
05:00;35;60;50;38;92
06:00;34;49;39;42;98
07:00;39;48;35;77;156
08:00;40;47;35;60;132
09:00;42;49;39;60;134
10:00;58;79;52;111;226
11:00;50;62;39;73;161
12:00;38;32;25;36;94
13:00;32;23;20;30;77
14:00;46;24;21;55;130
15:00;50;42;36;72;161
16:00;52;59;51;84;180
17:00;52;33;27;75;165
18:00;49;30;24;66;149
19:00;40;26;22;51;119
20:00;63;41;27;137;271
21:00;61;55;38;124;250
22:00;61;52;42;146;284
23:00;43;46;44;55;127
