CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;90;96;151;322
01:00;86;88;129;282
02:00;45;74;37;101
03:00;53;55;39;112
04:00;33;66;17;59
05:00;36;39;25;74
06:00;62;45;98;211
07:00;76;61;238;439
08:00;87;103;288;528
09:00;96;106;288;536
10:00;90;139;263;493
11:00;73;147;147;297
12:00;81;131;149;308
13:00;89;100;162;336
14:00;82;85;86;212
15:00;83;53;76;198
16:00;91;47;93;233
17:00;95;44;101;249
18:00;95;52;94;238
19:00;131;36;199;436
20:00;143;55;294;593
21:00;135;92;300;593
22:00;110;94;170;370
23:00;112;105;245;487
