CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;32;86;50;1180;108
01:00;45;125;85;1350;174
02:00;;113;;;
03:00;38;102;62;990;131
04:00;35;98;43;740;100
05:00;34;83;51;690;111
06:00;31;81;54;720;114
07:00;34;80;55;740;118
08:00;42;93;97;820;189
09:00;50;108;110;1100;217
10:00;45;116;93;950;185
11:00;45;89;110;1010;211
12:00;54;99;114;1000;227
13:00;58;101;128;1120;252
14:00;58;124;115;1250;233
15:00;53;117;105;1210;213
16:00;56;101;131;1770;256
17:00;52;107;109;1460;217
18:00;56;105;133;1560;258
19:00;47;102;132;1420;247
20:00;53;100;143;2020;269
21:00;49;98;113;1520;220
22:00;43;99;91;1100;181
23:00;41;101;73;1260;152
