CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;51;43;560;116
01:00;31;22;440;64
02:00;18;11;330;35
03:00;14;8;270;26
04:00;14;10;270;28
05:00;;;360;
06:00;32;29;350;76
07:00;49;64;550;146
08:00;65;98;660;214
09:00;78;136;790;286
10:00;64;103;680;220
11:00;76;115;740;251
12:00;72;106;790;234
13:00;63;77;580;180
14:00;63;70;630;170
15:00;59;71;670;168
16:00;73;89;860;208
17:00;78;101;1010;231
18:00;60;61;640;152
19:00;66;73;660;177
20:00;77;89;800;214
21:00;75;82;850;199
22:00;68;70;800;175
23:00;64;64;900;161
