CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;57;107;95;1600;204
01:00;52;103;82;1380;177
02:00;56;81;24;940;92
03:00;42;53;10;610;58
04:00;45;60;20;570;75
05:00;40;50;19;510;70
06:00;73;52;135;1080;280
07:00;78;109;154;1630;315
08:00;85;129;156;1810;324
09:00;93;124;128;1730;288
10:00;103;108;150;1650;332
11:00;96;100;84;1260;225
12:00;96;96;61;1130;189
13:00;84;59;47;900;156
14:00;83;46;44;860;150
15:00;98;50;57;900;185
16:00;124;41;96;1480;271
17:00;108;69;77;1430;226
18:00;95;95;83;1710;223
19:00;103;79;108;1990;268
20:00;112;92;143;2000;331
21:00;111;112;190;2320;403
22:00;85;141;176;2580;354
23:00;74;132;139;2070;286
