CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;66;186;158;307
01:00;47;126;94;190
02:00;31;61;58;119
03:00;28;54;53;109
04:00;27;47;42;91
05:00;25;50;56;111
06:00;32;62;124;223
07:00;39;71;182;317
08:00;41;105;177;311
09:00;60;111;209;379
10:00;92;126;239;458
11:00;92;155;160;337
12:00;72;129;64;170
13:00;73;80;52;154
14:00;70;67;38;128
15:00;74;65;48;148
16:00;86;63;57;172
17:00;96;62;62;191
18:00;122;69;100;276
19:00;134;94;151;366
20:00;155;132;346;684
21:00;128;194;265;532
22:00;104;211;265;509
23:00;79;206;192;373
