CZAS;Dwutlenek azotu;Tlenek azotu;Tlenki azotu
00:00;41;52;120
01:00;34;33;84
02:00;35;40;96
03:00;35;39;94
04:00;33;27;74
05:00;30;33;81
06:00;30;47;101
07:00;29;44;97
08:00;35;47;107
09:00;45;81;169
10:00;35;35;88
11:00;41;41;103
12:00;48;48;121
13:00;58;74;172
14:00;43;37;100
15:00;38;32;87
16:00;38;29;84
17:00;47;43;114
18:00;54;51;132
19:00;71;113;245
20:00;69;121;254
21:00;67;136;275
22:00;51;87;183
23:00;49;83;177
