CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;61;107;26;1030;99
01:00;53;99;21;870;86
02:00;44;80;18;680;71
03:00;40;79;21;640;72
04:00;38;76;46;660;108
05:00;45;66;98;950;193
06:00;43;63;114;1250;217
07:00;80;96;184;1980;359
08:00;100;103;159;1850;343
09:00;85;121;57;990;172
10:00;76;102;53;940;156
11:00;75;64;47;910;147
12:00;66;56;41;800;129
13:00;65;58;35;720;118
14:00;57;23;27;790;98
15:00;81;15;40;1210;143
16:00;94;36;49;1490;169
17:00;92;35;45;1090;160
18:00;96;36;54;1330;179
19:00;84;52;45;1170;154
20:00;89;57;77;1260;208
21:00;107;61;148;2280;334
22:00;89;83;95;2250;234
23:00;76;123;49;1510;150
