CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;86;65;88;1420;221
01:00;60;68;29;950;104
02:00;56;85;41;1070;118
03:00;47;69;23;850;83
04:00;45;83;33;790;97
05:00;36;73;30;690;81
06:00;41;68;57;840;129
07:00;54;80;115;1220;229
08:00;76;92;144;1620;297
09:00;81;113;70;1430;188
10:00;95;169;107;1970;258
11:00;65;165;40;870;126
12:00;67;75;39;770;127
13:00;69;41;54;850;152
14:00;58;28;32;660;107
15:00;69;17;43;870;135
16:00;62;27;32;650;111
17:00;64;29;33;760;115
18:00;75;38;42;810;140
19:00;78;39;52;1000;158
20:00;73;47;51;960;150
21:00;59;40;37;790;116
22:00;86;61;73;1170;198
23:00;87;62;79;1270;208
