CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;56;135;33;106
01:00;51;101;26;90
02:00;51;76;27;91
03:00;42;72;14;63
04:00;36;91;17;62
05:00;43;62;49;118
06:00;59;90;138;269
07:00;73;122;269;484
08:00;85;171;233;441
09:00;78;189;143;297
10:00;91;176;146;314
11:00;92;;107;256
12:00;82;108;63;177
13:00;82;83;53;162
14:00;86;60;52;165
15:00;86;91;53;167
16:00;101;66;71;209
17:00;90;71;48;164
18:00;88;64;43;154
19:00;64;79;31;111
20:00;73;78;43;140
21:00;74;59;47;145
22:00;61;91;30;107
23:00;82;101;62;176
