CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;48;310;256;4280;439
01:00;35;279;182;3350;313
02:00;35;226;192;3140;329
03:00;34;208;187;3020;319
04:00;36;160;232;3360;392
05:00;41;209;283;3310;473
06:00;49;180;306;3290;517
07:00;51;197;325;3480;548
08:00;76;202;404;3690;694
09:00;;216;;;
10:00;77;233;252;2590;461
11:00;76;253;227;2310;421
12:00;86;141;276;2670;506
13:00;91;128;254;2280;477
14:00;105;137;332;3470;612
15:00;110;135;410;4600;736
16:00;116;163;527;5770;921
17:00;138;185;697;7220;1203
18:00;91;267;398;5190;699
19:00;86;294;358;4850;633
20:00;80;275;419;5640;719
21:00;67;307;356;5130;610
22:00;67;256;324;5220;561
23:00;48;280;246;4840;422
