CZAS;Pył zawieszony PM10;Tlenek węgla
00:00;68;930
01:00;99;870
02:00;81;950
03:00;94;1010
04:00;91;1120
05:00;87;1310
06:00;99;1830
07:00;106;2060
08:00;85;1980
09:00;105;1680
10:00;106;1780
11:00;154;
12:00;187;1590
13:00;176;1790
14:00;183;1940
15:00;194;1860
16:00;162;1620
17:00;120;1720
18:00;112;1530
19:00;102;1480
20:00;107;1390
21:00;82;1070
22:00;66;1030
23:00;75;1040
