CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;47;91;1210;186
01:00;37;62;940;132
02:00;58;54;970;140
03:00;49;40;790;109
04:00;50;45;800;117
05:00;50;38;770;108
06:00;52;59;920;142
07:00;56;91;1120;195
08:00;66;147;1470;291
09:00;67;158;1600;309
10:00;69;194;1630;365
11:00;69;173;1480;333
12:00;59;137;1330;268
13:00;68;200;1510;374
14:00;58;159;1330;301
15:00;64;165;1380;316
16:00;63;150;1330;292
17:00;67;194;1560;363
18:00;70;202;1560;380
19:00;74;229;1690;424
20:00;76;257;2090;469
21:00;68;231;1880;421
22:00;51;117;1150;229
23:00;51;127;1360;245
