CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;99;73;79;780;219
01:00;90;88;71;950;199
02:00;63;58;61;;156
03:00;58;52;54;;140
04:00;50;40;30;;95
05:00;47;47;35;;100
06:00;73;84;199;;376
07:00;89;88;207;;405
08:00;96;101;199;;399
09:00;101;91;166;;355
10:00;102;90;127;;294
11:00;93;60;96;;238
12:00;87;59;82;670;211
13:00;78;56;56;530;163
14:00;93;55;73;690;204
15:00;102;66;95;810;247
16:00;109;55;100;900;261
17:00;109;65;93;900;249
18:00;109;58;96;920;255
19:00;122;70;109;1050;287
20:00;;80;;;
21:00;141;99;207;1530;457
22:00;133;85;184;1700;414
23:00;132;108;242;1970;501
