CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;62;67;59;152
01:00;56;71;86;187
02:00;66;38;61;159
03:00;55;53;38;114
04:00;46;44;50;123
05:00;41;46;57;128
06:00;43;32;107;206
07:00;45;56;156;283
08:00;51;64;145;273
09:00;73;77;119;255
10:00;91;80;110;259
11:00;91;73;83;217
12:00;85;76;56;171
13:00;89;64;55;175
14:00;89;49;55;172
15:00;113;41;86;244
16:00;122;55;90;259
17:00;97;46;55;180
18:00;118;51;102;273
19:00;118;63;107;282
20:00;106;53;100;259
21:00;113;70;139;324
22:00;92;64;116;270
23:00;76;57;87;209
