CZAS;Pył zawieszony PM10;Tlenek węgla
00:00;90;1610
01:00;71;910
02:00;63;740
03:00;51;680
04:00;47;620
05:00;45;700
06:00;43;840
07:00;39;1330
08:00;52;1610
09:00;45;1630
10:00;59;1800
11:00;77;1880
12:00;87;2330
13:00;117;2110
14:00;125;1880
15:00;114;1930
16:00;124;2330
17:00;121;2450
18:00;115;2310
19:00;101;2020
20:00;121;1870
21:00;111;1630
22:00;71;1240
23:00;77;1650
