CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;38;74;54;22;72
01:00;36;70;54;18;63
02:00;39;;;12;56
03:00;39;;;12;57
04:00;35;;;10;50
05:00;55;;;42;120
06:00;77;;;86;207
07:00;94;;;180;369
08:00;100;;;181;378
09:00;86;;;99;238
10:00;69;78;33;73;181
11:00;62;61;26;65;162
12:00;57;68;28;47;129
13:00;52;72;24;37;107
14:00;56;71;25;41;119
15:00;46;80;25;33;95
16:00;44;65;24;30;89
17:00;68;80;23;47;139
18:00;71;89;29;48;143
19:00;78;80;37;60;170
20:00;94;86;43;89;229
21:00;58;73;47;41;121
22:00;46;75;53;27;87
23:00;40;76;54;23;75
