CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
00:00;8.99066;52.2988;134.039;84.4438;134.194;1502.52;1504.83;258.233
01:00;8.27855;42.9405;134.094;84.9667;107.442;1348.33;1572.08;207.745
02:00;7.78305;36.8901;131.453;86.1273;98.8951;1297.06;1564.46;188.613
03:00;7.70302;33.131;117.783;78.6002;121.317;1285.82;1431.22;219.184
04:00;7.16708;32.9764;125.426;82.1142;105.738;1352.43;1418.62;195.203
05:00;6.59166;33.6332;125.323;78.9096;106.127;1261.25;1377.13;196.439
06:00;6.15649;28.9628;118.856;74.7117;120.978;1242.66;1341.39;214.554
07:00;6.87196;39.5789;112.776;72.4451;194.732;1441.36;1341.43;338.24
08:00;6.47046;45.2796;111.537;70.0161;200.876;1408.2;1329.64;353.508
09:00;6.74215;55.1667;123.791;71.9838;295.996;1744.56;1379.17;509.105
10:00;8.06259;80.4507;113.16;62.2194;286.659;1482.36;1402.33;520.087
11:00;5.00482;84.0163;107.084;59.8254;216.532;1427.7;1420.07;416.216
12:00;2.03649;68.7575;60.0802;31.7896;106.519;784.35;1349.06;232.225
13:00;1.80246;71.2311;50.4732;25.6858;87.5093;709.61;1280.1;205.477
14:00;1.74046;74.8493;40.4798;18.6608;81.6754;666.04;1208.02;200.163
15:00;1.61643;93.636;38.4396;17.3904;110.74;784.01;1125.85;263.521
16:00;1.74394;99.9574;39.6435;18.5484;101.436;734.29;1041.62;255.568
17:00;2.30811;109.695;42.3912;18.9856;140.174;893.81;935.271;324.77
18:00;4.03198;113.76;55.1648;25.3588;200.448;1255.21;906.878;421.229
19:00;5.92003;116.622;74.3383;36.6814;263.402;1546.16;921.685;520.607
20:00;6.80357;116.598;92.8077;50.4479;318.366;1921.28;1063.8;605.081
21:00;7.58635;105.771;103.188;55.8306;347.531;2201.97;1250.35;639.02
22:00;7.64445;83.3925;102.94;59.8891;236.445;1819.43;1394.52;446.205
23:00;8.69617;63.4654;113.542;71.1998;205.64;1801.5;1521.71;379.046
00:00;8.45836;51.1483;124.575;81.8293;157.243;1670.77;1638.77;292.394
01:00;7.82484;40.4892;120.805;82.0799;127.401;1644.31;1732.58;235.979
