CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;78.7763;60.3607;30.9538;54.4981;739.406;786.664;162.1
01:00;55.2873;57.0669;28.8903;33.4078;620.783;808.35;106.3
02:00;53.4731;95.4293;46.3711;95.505;823.755;892.797;199.4
03:00;48.5525;104.833;48.4479;83.5788;711.88;926.915;176.4
04:00;45.7898;96.2931;48.1601;92.9826;690.25;893.122;187.9
05:00;40.1262;93.0311;51.8669;82.2774;622.217;828.649;165.8
06:00;43.4123;88.6711;48.1235;100.523;685.48;787.72;197
07:00;43.8093;85.5704;46.6747;101.371;695.544;749.099;198.7
08:00;61.9621;78.8184;43.1485;124.056;860.378;741.529;251.6
09:00;65.7402;51.7909;27.7939;86.6246;626.469;714.497;198
10:00;74.6251;46.054;23.0104;83.3696;631.472;690.461;202
11:00;72.1493;27.0136;12.21;59.981;493.937;663.218;163.8
12:00;78.7247;18.0742;7.21986;57.2359;465.644;635.143;166.1
13:00;65.11;20.5536;7.75347;41.2331;404.155;607.885;128
14:00;61.7952;22.8271;8.03514;33.5814;435.205;576.6;113.1
15:00;68.2505;25.7773;8.31125;39.8798;493.306;551.321;129.3
16:00;72.5319;26.7253;7.7625;39.7779;432.658;497.856;133.3
17:00;70.8751;20.4078;6.08986;36.613;447.292;475.459;126.8
18:00;84.1778;22.8882;7.64319;45.5294;478.495;456.336;153.7
19:00;84.841;23.6309;9.12444;41.8653;457.049;451.726;148.8
20:00;114.169;35.1327;14.1092;75.307;844.305;499.058;229.3
21:00;121.817;48.3198;19.7478;112.424;1099.67;585.998;293.5
22:00;122.822;64.5538;29.2282;135.063;1296.63;693.676;329.2
23:00;94.5011;79.2613;40.3626;80.267;930.463;748.32;217.2
