CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;102;39;32;113;1100;275
01:00;89;35;30;79;960;209
02:00;67;22;18;23;630;102
03:00;62;23;19;23;610;97
04:00;63;24;20;31;620;110
05:00;66;26;22;45;650;136
06:00;78;27;23;127;850;271
07:00;93;30;25;209;1220;412
08:00;100;31;27;232;1610;454
09:00;104;33;28;203;1270;414
10:00;103;36;29;159;1200;346
11:00;102;30;22;123;1070;289
12:00;96;21;17;93;870;237
13:00;94;19;14;90;870;231
14:00;104;18;14;87;850;236
15:00;105;18;14;84;890;233
16:00;126;21;16;110;1030;293
17:00;134;24;17;118;1020;315
18:00;147;25;17;144;1330;368
19:00;159;28;20;192;1470;452
20:00;170;35;25;285;1870;605
21:00;143;41;30;199;1600;447
22:00;124;38;30;157;1320;363
23:00;117;41;32;166;1360;371
