CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;68;209;290;510
01:00;44;168;43;108
02:00;37;130;29;81
03:00;19;132;11;35
04:00;21;107;11;37
05:00;20;71;16;43
06:00;34;66;38;90
07:00;45;56;83;171
08:00;48;55;107;211
09:00;47;52;104;204
10:00;51;52;113;223
11:00;58;72;118;238
12:00;55;82;70;161
13:00;60;46;82;184
14:00;66;57;83;191
15:00;55;44;61;147
16:00;67;47;78;184
17:00;84;56;140;296
18:00;100;115;234;456
19:00;99;139;293;546
20:00;94;143;293;541
21:00;88;163;264;491
22:00;79;202;203;387
23:00;80;200;293;527
