CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;44;105;26;1040;82
01:00;24;45;14;570;44
02:00;23;79;9;480;36
03:00;25;74;11;480;41
04:00;23;60;7;440;31
05:00;21;62;13;440;40
06:00;32;46;36;550;87
07:00;46;65;79;850;166
08:00;67;70;144;1380;286
09:00;59;90;128;1310;252
10:00;66;93;120;1170;249
11:00;57;95;114;1430;230
12:00;55;166;111;1390;224
13:00;61;182;118;1280;240
14:00;59;170;115;1190;233
15:00;69;181;118;1510;247
16:00;59;187;88;1390;193
17:00;63;155;81;1210;185
18:00;63;121;78;1280;180
19:00;60;123;60;1180;150
20:00;54;115;55;1250;137
21:00;48;100;41;970;110
22:00;64;105;62;1650;157
23:00;56;100;47;1280;127
