CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;46;53;32;95
01:00;42;31;25;80
02:00;21;32;11;37
03:00;26;22;17;52
04:00;23;27;12;42
05:00;37;27;30;83
06:00;51;47;100;203
07:00;59;28;149;287
08:00;64;37;145;285
09:00;73;60;169;330
10:00;77;74;157;316
11:00;70;71;102;225
12:00;70;44;67;172
13:00;79;50;96;226
14:00;82;52;83;208
15:00;89;45;97;236
16:00;88;39;92;227
17:00;100;43;109;265
18:00;87;47;88;220
19:00;86;50;78;205
20:00;90;56;101;244
21:00;90;45;113;262
22:00;79;48;75;192
23:00;68;54;56;153
