CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;36;30;450;82
01:00;26;21;330;57
02:00;30;25;350;68
03:00;24;19;290;53
04:00;22;17;270;47
05:00;26;20;280;57
06:00;44;44;400;112
07:00;56;83;770;183
08:00;68;136;980;274
09:00;67;151;960;297
10:00;64;143;840;283
11:00;64;127;740;259
12:00;64;116;740;242
13:00;59;94;670;202
14:00;67;120;760;251
15:00;68;122;840;255
16:00;66;118;880;247
17:00;72;124;990;261
18:00;74;141;1150;288
19:00;70;114;960;244
20:00;67;116;960;243
21:00;62;99;910;213
22:00;56;75;690;171
23:00;44;52;590;124
